flags,instruction,category,intent
BCIL,"my delivery address changed, can you help me editing it?",SHIPPING,change_shipping_address
BEL,I am looking for information about correcting my address,SHIPPING,change_shipping_address
BLN,I can't report an error with a sign-up,ACCOUNT,registration_problems
BILP,could I recover my key?,ACCOUNT,recover_password
BLM,I have issues correcting the address,SHIPPING,change_shipping_address
BELM,I do not know how to report a problem with payments,PAYMENT,payment_issue
BK,use platinum account,ACCOUNT,switch_account
BCL,"I am unhappy with your service, I have to file a reclamation",FEEDBACK,complaint
BL,show me what payment options are accepted,PAYMENT,check_payment_methods
BL,help me see what payment methods are available,PAYMENT,check_payment_methods
BIL,where can I get information about opening a {{Account Type}} account?,ACCOUNT,create_account
BL,I need to lodge a claim against your organization,FEEDBACK,complaint
BIL,can I use the freemium profile?,ACCOUNT,switch_account
BQ,want help checking ur money back policy,REFUND,check_refund_policy
BILMQZ,can ya  help me notify of a trouble with online payments,PAYMENT,payment_issue
BL,assistance to talk to customer service,CONTACT,contact_customer_service
BLMQ,i need help locating my invoices from {{Person Name}},INVOICE,check_invoice
BIL,can you help me to speak with customer service?,CONTACT,contact_customer_service
BL,I am trying to check when my article is going to arrive,DELIVERY,delivery_period
BCIZ,"I need to check your refund policy , how to do it?",REFUND,check_refund_policy
BILMP,could you help me receiving compensations of my money?,REFUND,get_refund
BLQZ,i tfy to see how soon can i expect my shipment,DELIVERY,delivery_period
BILP,could you help me asking for a refund of my money?,REFUND,get_refund
BIL,can you help me to locate the bill from {{Person Name}}?,INVOICE,check_invoice
BCILW,"the damn shipping address has changed, can I correct it?",SHIPPING,change_shipping_address
BILZ,where to file a customer reclamation against your company ?,FEEDBACK,complaint
BCILMQ,i have to check the termination charges how to do it,CANCEL,check_cancellation_fee
BKM,check invoices,INVOICE,check_invoice
BILQ,uhave a method to submit an opinion for ur company,FEEDBACK,review
BELQ,i do not know what i need to do to modify the address,SHIPPING,change_shipping_address
BCZ,"I want to checj your money back policy, I need assistance",REFUND,check_refund_policy
BIL,how to see the current status of my compensation?,REFUND,track_refund
BILM,how do I see the withdrawal charges?,CANCEL,check_cancellation_fee
BEL,why I cannot set the new shipping address valid up,SHIPPING,set_up_shipping_address
BL,help me seeing in which situations can I request a refund,REFUND,check_refund_policy
BLQ,i want assistance to check what payment options are allowed,PAYMENT,check_payment_methods
BL,help me seeing what hours I can call customer service,CONTACT,contact_customer_service
BCL,"I want to get in touch with customer assistance, I need help",CONTACT,contact_customer_service
BIL,how to use the platinum profile?,ACCOUNT,switch_account
BLQ,i want assistance to change to the {{Account Category}} account,ACCOUNT,switch_account
BILM,can you help me to get the bills from {{Person Name}}?,INVOICE,get_invoice
BLMQ,i want help informing of troubles with online payment,PAYMENT,payment_issue
BL,"I don't know what I have to do to get the bill #12588",INVOICE,get_invoice
BL,I have to notify of a sign-up error,ACCOUNT,registration_problems
BLMQ,wanna inform of registration issues,ACCOUNT,registration_problems
BCIL,"I have put my old address by mistake, how can I update it?",SHIPPING,change_shipping_address
BKLM,modify details on gold account,ACCOUNT,edit_account
BCIL,"I have got to receive your newsletter, can you help me?",SUBSCRIPTION,newsletter_subscription
B,I don't know how I can submit some feedback,FEEDBACK,review
BLW,I try to delete a fucking standard account,ACCOUNT,delete_account
BLW,assistance leaving a bloody opinion about a product,FEEDBACK,review
BILM,how to notify of problems with sign-up?,ACCOUNT,registration_problems
BILZ,how soon can I expect my parcel ?,DELIVERY,delivery_period
BLW,help to leave my goddamn feedback for your company,FEEDBACK,review
BL,I need assistance to check order {{Order Number}} current status,ORDER,track_order
BIL,where do I enter my secondary delivery address?,SHIPPING,set_up_shipping_address
BKL,update data on pro account,ACCOUNT,edit_account
BILMZ,how to ge compensations of my money?,REFUND,get_refund
BILQZ,how can i use the {{Account Category}} proile,ACCOUNT,switch_account
BIL,can you help me to see the current status of my refund?,REFUND,track_refund
BKLM,getting bills from {{Person Name}},INVOICE,get_invoice
BM,issues setting up another shipping address,SHIPPING,set_up_shipping_address
BIL,is it possible to delete my standard account?,ACCOUNT,delete_account
BL,I don't know how I can file a consumer claim,FEEDBACK,complaint
BKLM,editing details on {{Account Category}} account,ACCOUNT,edit_account
BLMZ,I don'tt know what I need to do to see the early exit fees,CANCEL,check_cancellation_fee
BL,help to use the platinum profile,ACCOUNT,switch_account
BLZ,I want assistance talking with an person,CONTACT,contact_human_agent
BL,I want to check in which situations can I ask to be refunded,REFUND,check_refund_policy
BILZ,were to sign up to the newsletter?,SUBSCRIPTION,newsletter_subscription
BILQZ,"what do i have to do to locate my biull #85632",INVOICE,check_invoice
BILZ,can you help me leave an opinion foor a product?,FEEDBACK,review
BL,I need help to check your allowed payment options,PAYMENT,check_payment_methods
BCELNQZ,i do nothave a {{Account Type}} account help signing up,ACCOUNT,create_account
BIQS,is it possible to place an order from {{Delivery Country}},DELIVERY,delivery_options
BKLM,rebate {{Currency Symbol}}{{Refund Amount}},REFUND,get_refund
BIL,"what do I need to do to find my bill #37777?",INVOICE,check_invoice
BILMW,can you help me receive goddamn compensations of money?,REFUND,get_refund
BILW,what do I need to do to check the fucking shipment methods?,DELIVERY,delivery_options
BLQ,want help seeing the withdrawal charge,CANCEL,check_cancellation_fee
BKLM,reimbursing {{Currency Symbol}}{{Refund Amount}},REFUND,get_refund
BILM,what do I have to do to acquire several products?,ORDER,place_order
BKL,delete gold account,ACCOUNT,delete_account
BLQ,"i dont know what to do to locate invoice #85632",INVOICE,check_invoice
BIL,can I change to the {{Account Category}} account?,ACCOUNT,switch_account
BKL,modify data on {{Account Type}} account,ACCOUNT,edit_account
BLQ,need help reporting a problem with registrations,ACCOUNT,registration_problems
BLQ,"need to look for invoice #37777",INVOICE,check_invoice
BKL,earning product,ORDER,place_order
BCILP,"I have to correct my address, will you help me?",SHIPPING,change_shipping_address
BCL,"I have got to subscribe to your newsletter, help me",SUBSCRIPTION,newsletter_subscription
BLQZ,i want assisyance to see how soon can i expect my product,DELIVERY,delivery_period
BEQ,"i do not know what i need to do to check invoice #12588",INVOICE,check_invoice
BL,I need help checking what payment methods are allowed,PAYMENT,check_payment_methods
BELP,I do not know how I could see order {{Order Number}} status,ORDER,track_order
BILM,where can I see what shipment options you offer?,DELIVERY,delivery_options
BL,I need to get a rebate,REFUND,get_refund
BLW,I have got to leave a fucking opinion about a product,FEEDBACK,review
BL,I need assistance editing my delivery address,SHIPPING,change_shipping_address
BLQ,wanna send my feedback for ur services,FEEDBACK,review
BLQ,need assistance looking for the invoice from {{Person Name}},INVOICE,check_invoice
BCL,"I need to earn an article, help me",ORDER,place_order
BILMPQ,could uhelp me to know if there are any news on my rebate,REFUND,track_refund
BLQW,i dont know what to do to chat with a fucking assistant,CONTACT,contact_human_agent
BLZ,I am waiting for a compensation of  {{Currency Symbol}}{{Refund Amount}},REFUND,track_refund
BL,I need to lodge a consumer complaint,FEEDBACK,complaint
BCELQ,i cannot understand ui want assistance to chat with an agent,CONTACT,contact_human_agent
BLQZ,want help to see how long it takes fo the article to arrive,DELIVERY,delivery_period
BL,I need help speaking to somebody,CONTACT,contact_human_agent
BLQ,need help to see how soon can I expect the delivery,DELIVERY,delivery_period
BLQZ,need help  seeing how long the shipment takes,DELIVERY,delivery_period
BILQ,what do i need to do to remove the {{Account Type}} account,ACCOUNT,delete_account
BILPW,would it be possible to file a damn customer reclamation?,FEEDBACK,complaint
BELQZ,I do not know how I can restore the apss of my user profile,ACCOUNT,recover_password
BELW,I do not know what to do to check the bloody withdrawal fee,CANCEL,check_cancellation_fee
BLM,I don't know what I have to do to order some items,ORDER,place_order
BILQ,what do i have to do to reset the pwd of my user account,ACCOUNT,recover_password
BLW,help to check the damn current status of the restitution,REFUND,track_refund
BCQ,wanna check ur refund policy i need help,REFUND,check_refund_policy
BCL,"I get an error when I try to make a payment, inform of it",PAYMENT,payment_issue
BLQZ,i cnt cancel my company newsletter subscription,SUBSCRIPTION,newsletter_subscription
BILM,how do I check if there are any updates on my rebate?,REFUND,track_refund
BLQ,need to notify of an issue with registrations,ACCOUNT,registration_problems
BILQ,how to see the allowed payment options,PAYMENT,check_payment_methods
BILM,what do I have to do to inform of payment errors?,PAYMENT,payment_issue
BKL,error correcting delivery address,SHIPPING,change_shipping_address
BKL,create new freemium account for daughter,ACCOUNT,create_account
BIL,can I check when will my product arrive?,DELIVERY,delivery_period
BCL,"I have got to report an issue with a signup, I need help",ACCOUNT,registration_problems
BL,I need help to inform of an error with a signup,ACCOUNT,registration_problems
BLMW,I have troubles modifying the fucking shipping address,SHIPPING,change_shipping_address
BLM,I have troubles editing the address,SHIPPING,change_shipping_address
BCL,"I have to sign up to your corporate newsletter, I need help",SUBSCRIPTION,newsletter_subscription
BIPQZ,could utell me more abouut creating a {{Account Type}} account,ACCOUNT,create_account
BLZ,assistance to check in what situations acn I request refunds,REFUND,check_refund_policy
BL,help me to see how long it takes for the article to arrive,DELIVERY,delivery_period
BILP,could you help me changing to the {{Account Type}} account?,ACCOUNT,switch_account
BLZ,help touse the {{Account Category}} profile,ACCOUNT,switch_account
BELN,I cannot check the current status of the rebate,REFUND,track_refund
BLQZ,need assistance leaving a commnet for your services,FEEDBACK,review
BL,I am trying to chat with someone,CONTACT,contact_human_agent
BLQZ,need help getting the bill from  {{Person Name}},INVOICE,get_invoice
BCIL,"I have got to set my shipping address up, how to do it?",SHIPPING,set_up_shipping_address
BIL,is it possible to check how soon can I expect the package?,DELIVERY,delivery_period
BL,I don't know how I can see when will my item arrive,DELIVERY,delivery_period
BELM,I do not know how I can notify of registration problems,ACCOUNT,registration_problems
BLQ,i need assistance cancelling my platinum account,ACCOUNT,delete_account
BL,I don't know what I have to do to contact a person,CONTACT,contact_human_agent
BILQ,where can i find information about the access key reset,ACCOUNT,recover_password
BEL,I do not know what I need to do to retrieve my PIN code,ACCOUNT,recover_password
BILQ,where to file a consumer complaint,FEEDBACK,complaint
BKL,reporting issue opening user profile,ACCOUNT,registration_problems
BCIL,"I need to see when will my package arrive, how can I do it?",DELIVERY,delivery_period
BLQ,need help to report a problem with signup,ACCOUNT,registration_problems
BKLMZ,reporting  troubles with online payment,PAYMENT,payment_issue
BIL,where to check at what time I can reach customer support?,CONTACT,contact_customer_service
BEL,I cannot find the withdrawal penalty,CANCEL,check_cancellation_fee
BL,I need to see what hours I can contact customer service,CONTACT,contact_customer_service
BLMQ,i try to purchase some of ur product,ORDER,place_order
BQW,i have a damn registration issue,ACCOUNT,registration_problems
BQ,want assistance contacting an agent,CONTACT,contact_human_agent
BL,I want to list the payment methods,PAYMENT,check_payment_methods
BLQ,need help seeing in what cases can I ask for a refund,REFUND,check_refund_policy
BLQ,i dont know what i have to do to obtain a compensation,REFUND,get_refund
BZ,I habe got to file a complaint,FEEDBACK,complaint
BL,assistance checking the early exit fee,CANCEL,check_cancellation_fee
BILM,where to check what shipping methods are there?,DELIVERY,delivery_options
BL,there is an issue trying to update the shipping address,SHIPPING,change_shipping_address
BILZ,can you help me to subscribe to the company newsletter ?,SUBSCRIPTION,newsletter_subscription
BQZ,i dont know wha to do to check the status of order {{Order Number}},ORDER,track_order
BL,I want help trying to correct my shipping address,SHIPPING,change_shipping_address
BIL,what do I have to do to restore my user account key?,ACCOUNT,recover_password
BLNQ,i cant change to the {{Account Category}} account,ACCOUNT,switch_account
BL,I need assistance to get my invoice from {{Person Name}},INVOICE,get_invoice
BIL,where do I restore my PIN code?,ACCOUNT,recover_password
BIL,can I check how soon can I expect the parcel?,DELIVERY,delivery_period
BIL,how to shop a product?,ORDER,place_order
BILZ,what do I need to do to see the terminbation fee?,CANCEL,check_cancellation_fee
BILMQ,can i notify of problems with a signup,ACCOUNT,registration_problems
BL,help to unsubscribe to the company newsletter,SUBSCRIPTION,newsletter_subscription
BL,I need assistance to download my bill from {{Person Name}},INVOICE,get_invoice
BILMW,what do I have to do to buy several damn articles?,ORDER,place_order
BCIL,"I need to set up the new delivery address, how to do it?",SHIPPING,set_up_shipping_address
BKLQ,update info on gold account,ACCOUNT,edit_account
BEQZ,i do ont know how i can report an issue with payment,PAYMENT,payment_issue
BL,I am trying to see order {{Order Number}} status,ORDER,track_order
BKL,update information on {{Account Type}} account,ACCOUNT,edit_account
BCEL,"I am looking for the delivery methods, I need assistance",DELIVERY,delivery_options
BK,create premium account,ACCOUNT,create_account
BL,see order {{Order Number}} status,ORDER,track_order
BL,help to see in what cases can I request to be reimbursed,REFUND,check_refund_policy
BLMZ,help me rport a trouble with online payments,PAYMENT,payment_issue
BL,open a standard account for my dad,ACCOUNT,create_account
BCEL,"you are not helpful, help talking to an operator",CONTACT,contact_human_agent
BI,are the service charges refundable?,REFUND,check_refund_policy
BL,I don't know how to reset the PIN of my user account,ACCOUNT,recover_password
BLQWZ,help unsubscribing from ur damnnewsletter,SUBSCRIPTION,newsletter_subscription
BCL,"I have to list your available payment options, I need help",PAYMENT,check_payment_methods
BCL,"I have entered a wrong shipping address, I want to modify it",SHIPPING,change_shipping_address
BLZ,question about the rermoval of a {{Account Category}} account,ACCOUNT,delete_account
BCELMNQZ,i cannot sign up i need to notify of signup proiblems,ACCOUNT,registration_problems
BLQ,i expect a reimbursement of {{Refund Amount}} dollars,REFUND,track_refund
BLQZ,want help tyo modify my shipping address,SHIPPING,change_shipping_address
BL,I can't speak to an operator,CONTACT,contact_human_agent
BL,I try to make a consumer claim against your business,FEEDBACK,complaint
BIL,is there an e-mail to submit a comment about your services?,FEEDBACK,review
BL,I have to restore my profile PIN,ACCOUNT,recover_password
BLSZ,hsipping to {{Delivery Country}},DELIVERY,delivery_options
BK,make purchase,ORDER,place_order
BKL,update data on {{Account Category}} account,ACCOUNT,edit_account
BILQZ,what do i need to do to change to hte {{Account Type}} account,ACCOUNT,switch_account
BILMPQ,will umail me the bills from {{Person Name}},INVOICE,get_invoice
BK,check status of order {{Order Number}},ORDER,track_order
BLMW,I have issues trying to change the damn address,SHIPPING,change_shipping_address
BL,"help to get the bill #37777",INVOICE,get_invoice
BQZ,I'm calling to check whenb will my item arrive,DELIVERY,delivery_period
BIL,what do I have to do to receive your company newsletter?,SUBSCRIPTION,newsletter_subscription
BLMQ,i need help to obtain compensations,REFUND,get_refund
BLMW,help to ask for fucking refunds of money,REFUND,get_refund
BLMZ,help to solve troubles with online paymnets,PAYMENT,payment_issue
BCLW,"I have entered a wrong fucking delivery address, correct it",SHIPPING,change_shipping_address
BCIL,"I want to see when will my package arrive, can you help me?",DELIVERY,delivery_period
BIL,can you help me seeing the accepted payment options?,PAYMENT,check_payment_methods
BLQ,i dont know what to do to talk with customer assistance,CONTACT,contact_customer_service
BIL,is it possible to lodge a complaint against your business?,FEEDBACK,complaint
BLM,I don't know how I can get the bills from {{Person Name}},INVOICE,get_invoice
BKLQ,correcting info on {{Account Type}} account,ACCOUNT,edit_account
BLQZ,I'm waiting for a  compensation of {{Currency Symbol}}{{Refund Amount}},REFUND,track_refund
BCILW,"I need to see your goddamn refund policy, how do I do it?",REFUND,check_refund_policy
BIL,what do I have to do to report a problem with sign-up?,ACCOUNT,registration_problems
BIL,where to get a rebate?,REFUND,get_refund
B,I need to create a gold account,ACCOUNT,create_account
BCL,"I ain't registered, I have got to open a {{Account Type}} account",ACCOUNT,create_account
BIL,how do I create a standard account for my daughter?,ACCOUNT,create_account
BL,I want assistance seeing your available payment modalities,PAYMENT,check_payment_methods
BLM,I want to inform of problems with a signup,ACCOUNT,registration_problems
BIL,can I check the current status of my reimbursement?,REFUND,track_refund
BL,I have to retrieve my user PIN code,ACCOUNT,recover_password
BL,help me to use the premium profile,ACCOUNT,switch_account
B,anything new on the refund,REFUND,track_refund
BLQZ,i have to recover my avcount pin code,ACCOUNT,recover_password
BL,I want help unsubscribing from the company newsletter,SUBSCRIPTION,newsletter_subscription
BIL,can I close a {{Account Type}} account?,ACCOUNT,delete_account
BLQ,i need assistance to reset my pwd,ACCOUNT,recover_password
BILQ,how can i modify my shipping address,SHIPPING,change_shipping_address
BILM,can you help me see what options for delivery I have?,DELIVERY,delivery_options
BMZ,help me to  report issues with payment,PAYMENT,payment_issue
BL,find information about modifying my address,SHIPPING,change_shipping_address
BLM,supports trying to update my address,SHIPPING,change_shipping_address
BILQZ,where to see whne will my product arrive,DELIVERY,delivery_period
BL,the shipment options,DELIVERY,delivery_options
BLQ,i dont know how to change to the premium account,ACCOUNT,switch_account
BIL,how to give a quick look at the bill from {{Person Name}}?,INVOICE,check_invoice
BLQ,i dont know what i need to do to delete a {{Account Category}} account,ACCOUNT,delete_account
BCILPQ,i have got to order a product could i get some help,ORDER,place_order
BLPQZ,I'd like to obtain an reimbursement of money,REFUND,get_refund
BLMQ,i want help downloading my invoices from {{Person Name}},INVOICE,get_invoice
BKLQZ,ETA of oorder {{Order Number}},ORDER,track_order
BL,help me canceling the {{Account Category}} account,ACCOUNT,delete_account
BQ,i want assistance checking how soon can i expect the item,DELIVERY,delivery_period
BLMQ,want help giving a quick look at my bills from {{Person Name}},INVOICE,check_invoice
BLM,I have problems setting up the new delivery address,SHIPPING,set_up_shipping_address
BL,show me in what situations can I request refunds,REFUND,check_refund_policy
BL,I want assistance reporting a problem with sign-up,ACCOUNT,registration_problems
BCLQ,i put my old address by mistake i need help updating it,SHIPPING,change_shipping_address
BILQ,can uhelp me see the ETA of purchase {{Order Number}},ORDER,track_order
BL,I want assistance trying to correct the address,SHIPPING,change_shipping_address
BIL,what do I have to do to speak to customer assistance?,CONTACT,contact_customer_service
BILM,where do I see my invoices from {{Person Name}}?,INVOICE,check_invoice
BLW,I want to know about a bloody shipping address modification,SHIPPING,change_shipping_address
BL,contact a human agent,CONTACT,contact_human_agent
BLM,I have issues modifying the delivery address,SHIPPING,change_shipping_address
BL,help to place an order,ORDER,place_order
BI,"how do I get invoice #37777?",INVOICE,get_invoice
BELM,I am experiencing errors signing up,ACCOUNT,registration_problems
BIQSZ,is it possible toorder from {{Delivery City}},DELIVERY,delivery_options
BCLQ,my delivery address has changed correct it,SHIPPING,change_shipping_address
BE,I do not know how I can switch to the {{Account Category}} account,ACCOUNT,switch_account
BLQZ,i want assistance informing of  a sign-up issue,ACCOUNT,registration_problems
BIL,where to edit my delivery address?,SHIPPING,change_shipping_address
BLZ,I have a problem with  opening a standard account,ACCOUNT,create_account
BLM,assistance to get my bills from {{Person Name}},INVOICE,get_invoice
BLQ,i dont know how i can see my bill from {{Person Name}},INVOICE,check_invoice
BILMQ,how to earn several articles,ORDER,place_order
BLM,there are troubles editing my shipping address,SHIPPING,change_shipping_address
BL,trouble setting up my secondary shipping address,SHIPPING,set_up_shipping_address
BQ,i have an issue changing my shipping address,SHIPPING,change_shipping_address
BLQ,i have to acquire a product,ORDER,place_order
BCL,"I lost the PIN of my user, I want help to retrieve it",ACCOUNT,recover_password
BIL,can I talk with someone?,CONTACT,contact_human_agent
BIQS,do ya deliver to {{Delivery City}},DELIVERY,delivery_options
BK,creating freemium account,ACCOUNT,create_account
BL,assistance to chat with a person,CONTACT,contact_human_agent
BLM,I need to inform of an error with online payments,PAYMENT,payment_issue
BILQ,ya have a free of charge number to talk to customer service,CONTACT,contact_customer_service
BLQZ,i dont know what to do to talk with customre assistance,CONTACT,contact_customer_service
BIL,can you tell me about a delivery address update?,SHIPPING,change_shipping_address
BLN,I can't see if there is anything new on the compensation,REFUND,track_refund
BLQZ,I'm waiting for a restitution oof {{Currency Symbol}}{{Refund Amount}},REFUND,track_refund
BL,I have got to check what hours I can call customer support,CONTACT,contact_customer_service
BCELQZ,i no longer make us of my pro account need help deleting it,ACCOUNT,delete_account
BLZ,help me to check the early exit few,CANCEL,check_cancellation_fee
BISZ,is it possible to place a order from {{Delivery Country}}?,DELIVERY,delivery_options
BLMQ,i want assistance solving issues with online payments,PAYMENT,payment_issue
BL,I want to see your accepted payment options,PAYMENT,check_payment_methods
BLMQ,i have problems setting up my delivery address,SHIPPING,set_up_shipping_address
BILP,will you direct to me someone?,CONTACT,contact_human_agent
BLMZ,I am trying ot get rebates,REFUND,get_refund
BLQ,i want my rebate of money,REFUND,get_refund
BK,switch to premium account,ACCOUNT,switch_account
BILQ,is there an e-mail to send feedback about ur services,FEEDBACK,review
BL,I am waiting for a compensation of {{Currency Symbol}}{{Refund Amount}},REFUND,track_refund
BLZ,I have tl talk to a live agent,CONTACT,contact_human_agent
BLM,I have issues trying to update the shipping address,SHIPPING,change_shipping_address
BL,cancel my corporate newsletter subscription,SUBSCRIPTION,newsletter_subscription
BL,I need help seeing what hours customer service available is,CONTACT,contact_customer_service
BILQ,what do i have to do to reset my user account key,ACCOUNT,recover_password
BL,I call to get my invoice from {{Person Name}},INVOICE,get_invoice
BL,assistance speaking with customer support,CONTACT,contact_customer_service
BIL,how do I update the shipping address?,SHIPPING,change_shipping_address
BL,assistance checking the restitution current status,REFUND,track_refund
BKLZ,editing {{Account Category}}  account,ACCOUNT,edit_account
BL,I don't know how to set a secondary shipping address up,SHIPPING,set_up_shipping_address
BL,I need help to acquire a product,ORDER,place_order
BL,there is an issue trying to change the shipping address,SHIPPING,change_shipping_address
BIL,is it possible to use the gold profile?,ACCOUNT,switch_account
BKLZ,seebill from {{Person Name}},INVOICE,check_invoice
BL,I expect a compensation of {{Refund Amount}} dollars,REFUND,track_refund
BLM,see the bills from {{Person Name}},INVOICE,check_invoice
BLQZ,i want support updating  the delivery address,SHIPPING,change_shipping_address
BCILQ,i have got to leave my feedback can i get some help,FEEDBACK,review
BIL,how do I create a premium account?,ACCOUNT,create_account
BIL,where can I check what payment methods are accepted?,PAYMENT,check_payment_methods
BCEIL,"I have not signed up yet, how to create a {{Account Type}} account?",ACCOUNT,create_account
BCILQ,i aint registered can i create a {{Account Category}} account,ACCOUNT,create_account
BIQZ,where can i check what payment methoda ya accept,PAYMENT,check_payment_methods
BILMW,where do I get my damn bills from {{Person Name}}?,INVOICE,get_invoice
BLZ,I need help to talk to custmoer service,CONTACT,contact_customer_service
BI,how can I switch to the {{Account Type}} account?,ACCOUNT,switch_account
BLW,there is a problem submitting the fucking shipping address,SHIPPING,set_up_shipping_address
BCILV,"I have lost bill #00108, can you show it to me?",INVOICE,check_invoice
BEQ,"i do not know what i need to do to get invoice #37777",INVOICE,get_invoice
BL,I want to report a problem with registrations,ACCOUNT,registration_problems
BCLQ,i have got to download the bill from {{Person Name}} help me,INVOICE,get_invoice
BLM,I want assistance to notify of troubles with payment,PAYMENT,payment_issue
BCLQZ,wanna use  the gold profile i need help,ACCOUNT,switch_account
BILP,could you help me to submit my feedback for your products?,FEEDBACK,review
BLM,I want help downloading the invoices from {{Person Name}},INVOICE,get_invoice
BLM,question about opening standard accounts,ACCOUNT,create_account
BL,help me see in which situations can I ask to be refunded,REFUND,check_refund_policy
BL,I have got to make a complaint against your company,FEEDBACK,complaint
BL,I need assistance to check the current status of the rebate,REFUND,track_refund
BILZ,can you help me restoring myPIN code?,ACCOUNT,recover_password
BLQ,i dont know what i have to do to buy an article,ORDER,place_order
BCELM,"I cannot find the bills from {{Person Name}}, mail them to me",INVOICE,get_invoice
BLMQ,i dont know what to do to notify of issues with payment,PAYMENT,payment_issue
BCIL,"I have got to modify my address, how can I do it?",SHIPPING,change_shipping_address
BLZ,assistance seeing how soon can I exect my delivery,DELIVERY,delivery_period
BIL,"where can I give a quick look at invoice #37777?",INVOICE,check_invoice
BEL,"I do not know what I need to do to download invoice #37777",INVOICE,get_invoice
BLQZ,i want assistance to see how soon can i xepect the item,DELIVERY,delivery_period
BLQ,help me to check in what cases can i request refunds,REFUND,check_refund_policy
BIL,do you have a method to submit a review for your products?,FEEDBACK,review
BLQ,i need information about correcting my shipping address,SHIPPING,change_shipping_address
BL,I need to see at what time I can reach customer assistance,CONTACT,contact_customer_service
BLM,there are issues updating my address,SHIPPING,change_shipping_address
BL,I try to check order {{Order Number}} current status,ORDER,track_order
BKL,change to freemium account,ACCOUNT,switch_account
BL,assistance to send some feedback about your products,FEEDBACK,review
BL,I try to make a reclamation against your organization,FEEDBACK,complaint
BELP,"I do not know how I could download bill #00108",INVOICE,get_invoice
BQ,"i dont know what i need to do to find invoice #12588",INVOICE,check_invoice
BKL,opening {{Account Type}} account for wife,ACCOUNT,create_account
BLQ,need help to obtain my money back,REFUND,get_refund
BILQ,can uhelp me seeing the termination fee,CANCEL,check_cancellation_fee
BL,I try to know if there is anything new on my compensation,REFUND,track_refund
BLQ,"i need assistance to give a quick look at the invoice #37777",INVOICE,check_invoice
BILZ,can I see at what time I can call customer service ?,CONTACT,contact_customer_service
BL,I want help to see the payment methods,PAYMENT,check_payment_methods
BLQZ,want assistnace to cancel my {{Account Category}} account,ACCOUNT,delete_account
BL,help me list your accepted payment methods,PAYMENT,check_payment_methods
BKM,get invoices from {{Person Name}},INVOICE,get_invoice
BIL,how to subscribe to the newsletter?,SUBSCRIPTION,newsletter_subscription
BCL,"I have to see how long refunds take, I need help",REFUND,check_refund_policy
BILQZ,is  it possible to see the early termination penalty,CANCEL,check_cancellation_fee
BL,I need assistance to file a consumer complaint,FEEDBACK,complaint
BLQ,I'm waiting for a restitution of {{Currency Symbol}}{{Refund Amount}},REFUND,track_refund
BCILQ,wanna change the info on my account can i get some help,ACCOUNT,edit_account
BIL,where do I retrieve my user access key?,ACCOUNT,recover_password
BIL,how to chat with an operator?,CONTACT,contact_human_agent
BL,help to call customer support,CONTACT,contact_customer_service
BILQ,how do i retrieve my profile pin,ACCOUNT,recover_password
BLQ,i try to get in touch with customer assistance,CONTACT,contact_customer_service
BILM,how to change the details included on my profile?,ACCOUNT,edit_account
BLQ,i want help to create a gold account for my fiance,ACCOUNT,create_account
BLQW,need help seeing the fucking withdrawal charge,CANCEL,check_cancellation_fee
BCIL,"I have to close my standard account, how do I do it?",ACCOUNT,delete_account
BLZ,I want to see your  refund policy,REFUND,check_refund_policy
BCL,"I am unhappy with your work, lodge a claim",FEEDBACK,complaint
BLQ,want assistance trying to change the shipping address,SHIPPING,change_shipping_address
BL,information about the termination of a {{Account Type}} account,ACCOUNT,delete_account
BLZ,"I odn't know how I can look for my invoice #12588",INVOICE,check_invoice
BLQ,i dont know how to inform of a payment problem,PAYMENT,payment_issue
BLQ,need assistance to speak to somebody,CONTACT,contact_human_agent
BZ,I expect a reufnd of {{Currency Symbol}}{{Refund Amount}},REFUND,track_refund
BLQ,need assistance seeing ur money back guarantee,REFUND,check_refund_policy
BILP,where could I get information about updating my address?,SHIPPING,change_shipping_address
BKLM,reporting troubles with online payment,PAYMENT,payment_issue
BCIL,"I have to speak to customer assistance, how to do it?",CONTACT,contact_customer_service
BKL,list accepted payment methods,PAYMENT,check_payment_methods
BILM,where to earn several of your product?,ORDER,place_order
BIL,what do I need to do to speak with someone?,CONTACT,contact_human_agent
BLMQ,wanna report a trouble with online payments,PAYMENT,payment_issue
BILP,"would it be possible to find the bill #00108?",INVOICE,check_invoice
BKL,modify {{Account Type}} account,ACCOUNT,edit_account
BIQSW,is it possible to place a bloody order from {{Delivery City}},DELIVERY,delivery_options
BIL,where to create a freemium account?,ACCOUNT,create_account
BIMP,how could I get information about forgotten passwords?,ACCOUNT,recover_password
BL,I want assistance to notify of an error with sign-up,ACCOUNT,registration_problems
BL,information about updating my address,SHIPPING,change_shipping_address
BILM,where do I inform of problems with registrations?,ACCOUNT,registration_problems
BIL,how to see the cancellation penalty?,CANCEL,check_cancellation_fee
BL,I need help to see how long the delivery takes,DELIVERY,delivery_period
BL,I want to see at what time I can contact customer assistance,CONTACT,contact_customer_service
BILQ,can ya help me update my delivery address,SHIPPING,change_shipping_address
BILQZ,can uhelp me to make a complaint againsy ur business,FEEDBACK,complaint
BL,notify of a signup issue,ACCOUNT,registration_problems
BL,I need help to submit my delivery address,SHIPPING,set_up_shipping_address
BL,help to locate the bill from {{Person Name}},INVOICE,check_invoice
